Recorded: ['alexnet', 'bert', 'mapreduce', 'pagerank', 'resnet', 'transformer']

Baseline vs gold (all 6 papers):
Role                TP  FP  FN  TN      P     R    F1
TechnicalMethod      5   1   1   0   0.83  0.83  0.83
Task                 2   4   4   0   0.33  0.33  0.33
Dataset              4   1   2   0   0.80  0.67  0.73
EvaluationMetric     4   1   2   0   0.80  0.67  0.73
Overall             15   7   9   0   0.68  0.62  0.65

Pipeline vs gold (all 6 papers):
Role                TP  FP  FN  TN      P     R    F1
TechnicalMethod      5   1   1   0   0.83  0.83  0.83
Task                 2   4   4   0   0.33  0.33  0.33
Dataset              5   0   1   0   1.00  0.83  0.91
EvaluationMetric     2   4   4   0   0.33  0.33  0.33
Overall             14   9  10   0   0.61  0.58  0.60

